iter	Passed	Remaining
401	19157	28497
402	19203	28447
403	19247	28395
404	19302	28358
405	19354	28316
406	19406	28275
407	19455	28229
408	19498	28174
409	19542	28121
410	19593	28079
411	19649	28043
412	19708	28011
413	19753	27960
414	19795	27904
415	19853	27871
416	19901	27824
417	19942	27766
418	19995	27725
419	20036	27669
420	20080	27616
421	20118	27556
422	20167	27509
423	20219	27468
424	20261	27412
425	20300	27353
426	20362	27324
427	20408	27274
428	20450	27220
429	20508	27185
430	20562	27145
431	20612	27101
432	20661	27055
433	20702	26998
434	20755	26957
435	20804	26911
436	20850	26862
437	20902	26820
438	20943	26764
439	20991	26716
440	21037	26667
441	21087	26621
442	21135	26573
443	21186	26530
444	21239	26489
445	21283	26437
446	21328	26386
447	21373	26335
448	21411	26275
449	21461	26230
450	21517	26192
451	21571	26153
452	21614	26099
453	21654	26042
454	21714	26009
455	21755	25954
456	21806	25909
457	21851	25859
458	21902	25815
459	21956	25774
460	21998	25721
461	22040	25666
462	22085	25615
463	22133	25567
464	22193	25534
465	22237	25482
466	22284	25433
467	22339	25394
468	22389	25349
469	22431	25294
470	22470	25237
471	22509	25180
472	22547	25121
473	22586	25064
474	22631	25014
475	22675	24961
476	22716	24906
477	22760	24855
478	22801	24800
479	22843	24747
480	22879	24687
481	22923	24635
482	22975	24593
483	23027	24550
484	23077	24504
485	23130	24462
486	23170	24407
487	23219	24361
488	23263	24310
489	23307	24258
490	23357	24214
491	23412	24174
492	23457	24123
493	23503	24074
494	23547	24022
495	23585	23965
496	23625	23910
497	23670	23860
498	23714	23809
499	23760	23760
500	23813	23718
501	23875	23685
502	23927	23642
503	23969	23589
504	24010	23535
505	24050	23480
506	24104	23439
507	24152	23391
508	24200	23344
509	24259	23308
510	24306	23260
511	24358	23216
512	24419	23182
513	24470	23137
514	24516	23088
515	24566	23043
516	24623	23004
517	24677	22962
518	24731	22920
519	24785	22878
520	24833	22831
521	24886	22788
522	24939	22746
523	24985	22696
524	25033	22648
525	25077	22598
526	25120	22546
527	25174	22504
