iter	Logloss
0	0.6931068415
1	0.6931789788
2	0.6931916964
3	0.6931012891
4	0.6931206864
5	0.6930625223
6	0.6930895982
7	0.6931257533
8	0.6930938114
9	0.6931048661
10	0.6930894978
11	0.6931520424
12	0.6931248772
13	0.6931386272
14	0.6931440737
15	0.6931455413
16	0.6931504129
17	0.6931448549
18	0.6931457254
19	0.6931386663
20	0.693113471
21	0.6931173772
22	0.6931259263
23	0.6931258426
24	0.6931427121
25	0.6931173605
26	0.6931409598
27	0.6931190402
28	0.6931199944
29	0.6931392522
30	0.69313
31	0.6931108538
32	0.6931244196
33	0.693125385
34	0.6931240123
35	0.6931139621
36	0.6931194029
37	0.6931129129
38	0.6931142076
39	0.6931069141
40	0.6931125837
41	0.6930993025
42	0.693094308
43	0.6931211384
44	0.6931099219
45	0.6931162277
46	0.6931030134
47	0.6931113002
48	0.6931164676
49	0.6931045871
50	0.6931090569
51	0.6931152121
52	0.6931120647
53	0.6931119196
54	0.6931119196
55	0.6931076618
56	0.6931140625
57	0.6931198103
58	0.6931136607
59	0.6931033761
60	0.6931088058
61	0.6931054408
62	0.6931025391
63	0.6930982589
64	0.6931006027
65	0.6930894754
66	0.6930954297
67	0.6930973214
68	0.6930879688
69	0.6930915792
70	0.6930912444
71	0.6930926451
72	0.6930919587
73	0.6930918806
74	0.6930914788
75	0.693090558
76	0.6930904353
77	0.6930892913
78	0.6930810547
79	0.6930876674
80	0.693094375
81	0.6930861161
82	0.6930877288
83	0.6931033315
84	0.6930886105
85	0.693095904
86	0.6930921094
87	0.6930946373
88	0.693088817
89	0.6930837388
90	0.6930765569
91	0.693079615
92	0.6930754688
93	0.6930831808
94	0.6930777567
95	0.6930825949
96	0.6930780357
97	0.6930748717
98	0.6930776562
99	0.6930737556
100	0.6930696205
101	0.6930646819
102	0.6930754297
103	0.6930800446
104	0.6930770201
105	0.6930791295
106	0.6930744643
107	0.6930757143
108	0.6930761496
109	0.6930714844
110	0.6930660826
111	0.6930650056
112	0.6930658929
113	0.6930604464
114	0.6930624163
115	0.6930643304
116	0.693066183
117	0.6930630246
118	0.6930625223
119	0.6930584096
120	0.69305851
121	0.6930500893
122	0.6930528348
123	0.6930528906
124	0.6930548996
125	0.6930533482
126	0.6930478962
127	0.6930503292
128	0.6930538337
129	0.6930548438
130	0.6930548493
131	0.69306149
132	0.6930507645
133	0.6930516741
134	0.6930544922
135	0.6930530971
136	0.6930528181
137	0.6930563504
138	0.6930545759
139	0.6930538225
140	0.6930565011
141	0.6930526339
142	0.6930483315
143	0.6930468583
144	0.6930440234
145	0.6930362277
146	0.6930364397
147	0.693039894
148	0.6930439007
